id,hexes,planes,accepted,selected,min_scaled_jacobian,nine_point_min_sj,cell_min_sj_p05,cell_min_sj_median,max_condition,volume_ratio,volume_cv,worst_cell_edge_ratio,reason
0,36,diagonal,True,Optimized interior coordinates,0.3160468906781161,0.3160468906781161,0.3162729776674802,0.3197972157604807,204.79086202279206,712.7003447929724,1.5177065963290788,87.37779087930694,
1,40,diagonal,True,untangled HexOpt,0.08106010401879281,0.08106010401879281,0.08167173107002623,0.17579285481490253,36.788587056454375,312.78767938122564,1.7190461888075923,10.289178654954462,
3,40,diagonal,True,untangled initial,0.0779187085198338,0.0779187085198338,0.07912674450345868,0.32758083566780105,26.064182864745483,303.41503687879504,1.6637674243763785,11.397296509089832,
2,40,diagonal,False,,,,,,,,,,No certified positive embedding obtained
7,42,diagonal,True,untangled HexOpt,0.23867284540628736,0.2600307883172016,0.24552938216771664,0.26474761121869766,81.58938915221822,171.59421815245048,1.6591055328771076,45.92604812549972,
12,42,diagonal,True,untangled HexOpt,0.2176993752707369,0.24000927069338054,0.2176993752707369,0.24058655615786095,150.54002831771587,197.2920554693903,1.674618473734689,43.75839359758199,
14,42,diagonal,True,untangled HexOpt,0.18504179970734422,0.23003557605373287,0.19699999642869004,0.23902225114404643,151.62017392816603,316.1206601977146,1.7388475084160062,47.78113903475498,
9,42,diagonal,True,untangled HexOpt,0.17237910444666835,0.19013361310960425,0.19013361310960425,0.19216037091091148,74.54213820817253,238.7691533888801,1.702639696621132,27.193217260677816,
11,42,diagonal,True,untangled HexOpt,0.11049150137788782,0.11049150137788782,0.11103816665010374,0.16780032189168176,24.124483826187063,163.868935051743,1.6421375942919185,10.268632955518504,
4,44,diagonal,True,untangled HexOpt,0.35883518575324386,0.3601728876965162,0.35883518575324386,0.3611991147819066,18.740879980888735,297.0176203897147,2.112999754173457,11.27200883452985,
16,44,axial,True,Original published coordinates,0.14449750517944657,0.14449750517944657,0.20980922981077615,0.42147371221690744,9.117847640411131,475.105940574337,2.1561068373181964,11.438980400336677,
13,44,diagonal,True,untangled HexOpt,0.20337916169723633,0.22002797709040192,0.20337916169723633,0.22211301113351287,441.38364681661653,197.5923689024407,1.745325118620481,240.6497861320368,
10,44,diagonal,True,untangled HexOpt,0.20011566748660597,0.230021441412634,0.20725203869305994,0.2310348869263973,14290.6504767509,139.20797814226248,1.7021108512206697,13292.79820618167,
15,44,diagonal,True,untangled HexOpt,0.18852132816066328,0.23007794924038827,0.18852132816066328,0.23346905156932074,1847.9805008662402,130.12722516290992,1.6996022201650094,1731.6313635541921,
6,44,diagonal,True,untangled HexOpt,0.13888455348851603,0.14007209076805535,0.13888455348851603,0.29549693240043906,26.793539617134925,72.51621483809109,1.629038238563425,12.409462449454653,
5,44,diagonal,True,untangled HexOpt,0.06000579256039142,0.06000579256039142,0.06000579256039142,0.08934574131858264,73.3698365115759,411.3759707635255,1.882859449850585,12.44254479451117,
8,44,diagonal,False,,,,,,,,,,No certified positive embedding obtained
21,46,diagonal,True,untangled HexOpt,0.2801175232612319,0.2801175232612319,0.2801175232612319,0.28057012234578965,152.06308376005265,504.3790811509169,1.8164773115611057,86.53123362530494,
43,46,diagonal,True,untangled HexOpt,0.26095317611531976,0.31009938885032634,0.2832055301591551,0.3107579599776224,80.85051454344469,190.63416216377476,1.5340748595452502,28.8733432246193,
35,46,diagonal,True,untangled HexOpt,0.25002210485016924,0.25002210485016924,0.25002210485016924,0.261707585244834,79.31706426345207,273.9895328974044,1.7963106874355423,65.23218631465352,
63,46,diagonal,True,untangled HexOpt,0.22113519725714623,0.2300234682588554,0.22113519725714645,0.23310022046932116,123.466286047208,295.3910517648165,1.7734614891512515,31.448253510144436,
27,46,diagonal,True,untangled HexOpt,0.18002528744855045,0.18002528744855045,0.18002528744855045,0.183878977167152,46.14945916711508,1826.9929249329255,1.791640821679543,13.20711181238517,
61,46,diagonal,True,untangled HexOpt,0.168271223948049,0.17018815098622353,0.17018815098622353,0.17109207600179996,581.8414645555134,492.2016376132067,1.8007067769772276,643.4798079600984,
49,46,diagonal,True,untangled HexOpt,0.134837636214814,0.15009426789093192,0.13483763621481426,0.1532696569353281,6138.705185175855,1324.8563225380353,1.7529255012249052,1655.5744616382906,
37,46,diagonal,True,untangled HexOpt,0.10109867078243553,0.1403094630076277,0.11690352271446883,0.1415706117814995,389.4222206266064,892.2703216250569,1.8451920739126024,203.11250261796033,
60,46,diagonal,True,untangled HexOpt,0.09028236628471865,0.09028236628471865,0.09085456466926425,0.09321206914472596,7241.1707982664575,417.57537250126063,1.7517890256388495,5829.0393059828275,
53,46,diagonal,True,untangled HexOpt,0.07913175947026255,0.11001512425467268,0.09886230093027011,0.11923399283453658,13977.950129372439,11359.644982715528,1.7703348464122213,5119.189327014731,
32,46,diagonal,True,untangled HexOpt,0.07047795005416144,0.07047795005416144,0.07047795005416144,0.08877641667329401,2453.423438755455,1498.1030873149784,1.7626325443126318,2351.3469397823314,
28,46,diagonal,True,untangled HexOpt,0.040907627513588736,0.040907627513588736,0.04160360272084675,0.13140783218931973,72.80747792059992,439.6882244933744,1.9068927444505053,16.148451216373573,
29,46,diagonal,True,untangled HexOpt,0.040179233545531365,0.040179233545531365,0.04136368015272208,0.050340765117362185,99.89838008714713,813.4262720235388,1.924511701024017,19.900311695334274,
41,46,diagonal,True,untangled initial,0.03994852231577127,0.03994852231577127,0.0444343875105799,0.15679555545993556,50.08828786564518,479.1564056104866,1.7444536085005877,11.703491144547806,
44,46,diagonal,False,,,,,,,,,,No certified positive embedding obtained
45,46,diagonal,False,,,,,,,,,,No certified positive embedding obtained
25,48,diagonal,True,untangled HexOpt,0.31005363267855324,0.31005363267855324,0.3101240077246224,0.31134314551485076,69.23209102514821,56.33581505431289,1.178539939179226,45.979180637167254,
22,48,diagonal,True,untangled HexOpt,0.27001484783029434,0.27001484783029434,0.27001484783029434,0.2713424419721965,58.06300222681442,937.3045447387595,1.8737623054579244,36.68244213531182,
42,48,diagonal,True,untangled HexOpt,0.2638985165426078,0.3000252602383964,0.27300316016623044,0.30059164352089107,126.84623097976683,174.3639327761724,1.577313812408812,48.28002178433347,
36,48,diagonal,True,untangled HexOpt,0.2591827529674714,0.2700057189156873,0.2591827529674716,0.275593892773643,231.83569725204947,712.7859198086798,1.8472883749691242,97.04124044439799,
47,48,diagonal,True,untangled HexOpt,0.22086567923465644,0.24000763680723972,0.22086567923465644,0.2416385359416242,2267.163872841625,266.118802608281,1.5633155180180227,2128.0086220508047,
19,48,diagonal,True,untangled HexOpt,0.22021783545616727,0.22021783545616727,0.22021783545616727,0.26637697433270857,75.11996600310864,2914.4991549196493,2.273372421026221,37.693487344194885,
66,48,axial,True,untangled HexOpt,0.2168125572538669,0.22013579826545818,0.21681255725386728,0.22600094106894458,1588.1431551835008,1261.692608091282,2.231735466536585,454.69314081359136,
31,48,diagonal,True,untangled HexOpt,0.18691975322625973,0.2000728544158028,0.18691975322626012,0.20151298021767977,3644.052543999653,200.0322548605363,1.7258398451890644,3251.7347469215397,
26,48,diagonal,True,untangled HexOpt,0.18006162215700836,0.18006162215700836,0.18006162215700836,0.19134885532696516,37.438614521302675,6029.06412432424,1.8395948410098921,13.028831546219305,
33,48,diagonal,True,untangled HexOpt,0.16012895659446377,0.16012895659446377,0.16012895659446377,0.16246187165479448,352.09217966273644,1401.8520583508364,1.8222167111156098,92.80989531982883,
64,48,diagonal,True,untangled HexOpt,0.15179604656229967,0.17029651870063178,0.15179604656230025,0.17528479147099787,213.14560367117548,128.72151759315696,1.516980816590298,68.37320785094246,
50,48,diagonal,True,untangled HexOpt,0.1500141712519394,0.1500141712519394,0.15006270836447932,0.15319092984587016,563.0476089356979,175.17357535053702,1.7803742941960259,559.7584500776459,
54,48,diagonal,True,untangled HexOpt,0.1400136752216318,0.1400136752216318,0.1402486203691845,0.1430629826957855,740.2601977150298,224.9258964772386,1.810247883045694,734.9657873105679,
24,48,diagonal,True,untangled HexOpt,0.13599660854465329,0.20005169795680938,0.1359966085446533,0.20033176516023576,52.53062474542457,153.3935643329696,1.736193611881723,22.311669108422862,
55,48,diagonal,True,untangled HexOpt,0.12482447128342189,0.15007551694259744,0.12482447128342192,0.15155347127924695,1977.445227535705,228.49333629077603,1.812914179635021,1727.758473994176,
59,48,diagonal,True,untangled HexOpt,0.12004966422262137,0.12004966422262137,0.12004966422262137,0.12956681147681326,35.46564865922744,374.68355131347846,1.8447943786884011,18.943035876926366,
58,48,diagonal,True,untangled HexOpt,0.11608243642463574,0.15014163691235832,0.11619340290692472,0.15130987727314626,91.94633571372574,856.5087116347408,1.8518846698522655,64.30062175943952,
