id,fine_quads,coarse_quads,hexes,side_quads,min_sampled_sj,max_sampled_condition
F9-1-H13,9,1,13,4,0.3007026229154718,10.142294514857877
F9-1-H14,9,1,14,5,0.4700116801799161,64.63983718332625
F16-4-H28,16,4,28,6,0.19999999999999996,7.118320327668908
F16-4-H32,16,4,32,8,0.5107114359587395,4.7855444682679655
F25-9-H33,25,9,33,6,0.26000032169833365,4012.4701662090615
F16-4-H34,16,4,34,7,0.39030762433057514,3904.0615734601556
F25-1-H37-01,25,1,37,7,0.22040787549222923,15.521967975054798
F25-1-H37-02,25,1,37,7,0.2282660332541568,10.94767821117835
F25-1-H37-03,25,1,37,7,0.2282660332541568,12.394509419083926
F25-1-H38-01,25,1,38,8,0.23000318494580596,98.22078906361126
F25-1-H38-02,25,1,38,8,0.3489987155591511,2338.2751389267887
F25-1-H38-03,25,1,38,8,0.34031965627236793,130.21226230523013
