id,geometry,hexes,height_width_ratio,min_sampled_sj,max_sampled_condition
F9-1-H13,fixed,13,1.0,0.3007026229154718,10.142294514857877
F9-1-H14,fixed,14,1.0,0.4700116801799161,64.63983718332625
F16-4-H28,fixed,28,1.0,0.19999999999999996,7.118320327668908
F16-4-H32,fixed,32,1.0,0.5107114359587395,4.7855444682679655
F25-9-H33,fixed,33,1.0,0.26000032169833365,4012.4701662090615
F16-4-H34,fixed,34,1.0,0.39030762433057514,3904.0615734601556
F25-1-H37-01,fixed,37,1.0,0.22040787549222923,15.521967975054798
F25-1-H37-02,fixed,37,1.0,0.2282660332541568,10.94767821117835
F25-1-H37-03,fixed,37,1.0,0.2282660332541568,12.394509419083926
F25-1-H38-01,fixed,38,1.0,0.23000318494580596,98.22078906361126
F25-1-H38-02,fixed,38,1.0,0.3489987155591511,2338.2751389267887
F25-1-H38-03,fixed,38,1.0,0.34031965627236793,130.21226230523013
F9-1-H13,sj,13,0.654258722273632,0.49021809752459256,55.652943213336215
F9-1-H14,sj,14,1.2540701378247752,0.49015416088145153,62.671625322180866
F16-4-H28,sj,28,0.499415922761687,0.49018963751987815,5.333445363810843
F16-4-H32,sj,32,0.9110118393625043,0.5600085409844441,5.362432535055676
F25-9-H33,sj,33,0.287155287140628,0.7200580781650021,9.314298245846864
F16-4-H34,sj,34,1.4589167568125936,0.42000875714223573,3267.1834327703523
F25-1-H37-01,sj,37,0.7927973850724765,0.3200041048878332,210.76845714662878
F25-1-H37-02,sj,37,0.6346746773032058,0.4003968532643245,33.93177708066008
F25-1-H37-03,sj,37,0.6501182274264689,0.41020713467968895,131.4987040331746
F25-1-H38-01,sj,38,1.8839835260403104,0.2500003110883608,51.92763377572675
F25-1-H38-02,sj,38,1.284692245225109,0.41028251268656296,121.39568908416192
F25-1-H38-03,sj,38,1.3048092569024805,0.4100043247012563,255.94335100429095
F9-1-H13,condition,13,2.0,0.10000000000000003,9.754298534258098
F9-1-H14,condition,14,1.2685872005006933,0.49005793429581107,59.33447186857211
F16-4-H28,condition,28,0.499415922761687,0.49018963751987815,5.333445363810843
F16-4-H32,condition,32,1.0,0.5107114359587395,4.7855444682679655
F25-9-H33,condition,33,0.29696378330388556,0.7200186354248556,8.696094617066011
F16-4-H34,condition,34,0.3858008447923691,0.17532033065377936,990.9193296793954
F25-1-H37-01,condition,37,2.0,0.06885433832485492,14.51396878286043
F25-1-H37-02,condition,37,1.0,0.2282660332541568,10.94767821117835
F25-1-H37-03,condition,37,1.0,0.2282660332541568,12.394509419083926
F25-1-H38-01,condition,38,1.8839835260403104,0.2500003110883608,51.92763377572675
F25-1-H38-02,condition,38,1.2597301842479938,0.41007055001714177,19.482604540431915
F25-1-H38-03,condition,38,4.0,0.06885433832485492,61.55988934067602
